Initializing NVTX monkey patches
Done with NVTX monkey patching
I Loading best validating checkpoint from /root/.local/share/deepspeech/checkpoints/best_dev-2303
I Loading variable from checkpoint: beta1_power
I Loading variable from checkpoint: beta2_power
I Loading variable from checkpoint: cudnn_lstm/rnn/multi_rnn_cell/cell_0/cudnn_compatible_lstm_cell/bias
I Loading variable from checkpoint: cudnn_lstm/rnn/multi_rnn_cell/cell_0/cudnn_compatible_lstm_cell/bias/Adam
I Loading variable from checkpoint: cudnn_lstm/rnn/multi_rnn_cell/cell_0/cudnn_compatible_lstm_cell/bias/Adam_1
I Loading variable from checkpoint: cudnn_lstm/rnn/multi_rnn_cell/cell_0/cudnn_compatible_lstm_cell/kernel
I Loading variable from checkpoint: cudnn_lstm/rnn/multi_rnn_cell/cell_0/cudnn_compatible_lstm_cell/kernel/Adam
I Loading variable from checkpoint: cudnn_lstm/rnn/multi_rnn_cell/cell_0/cudnn_compatible_lstm_cell/kernel/Adam_1
I Loading variable from checkpoint: global_step
I Loading variable from checkpoint: layer_1/bias
I Loading variable from checkpoint: layer_1/bias/Adam
I Loading variable from checkpoint: layer_1/bias/Adam_1
I Loading variable from checkpoint: layer_1/weights
I Loading variable from checkpoint: layer_1/weights/Adam
I Loading variable from checkpoint: layer_1/weights/Adam_1
I Loading variable from checkpoint: layer_2/bias
I Loading variable from checkpoint: layer_2/bias/Adam
I Loading variable from checkpoint: layer_2/bias/Adam_1
I Loading variable from checkpoint: layer_2/weights
I Loading variable from checkpoint: layer_2/weights/Adam
I Loading variable from checkpoint: layer_2/weights/Adam_1
I Loading variable from checkpoint: layer_3/bias
I Loading variable from checkpoint: layer_3/bias/Adam
I Loading variable from checkpoint: layer_3/bias/Adam_1
I Loading variable from checkpoint: layer_3/weights
I Loading variable from checkpoint: layer_3/weights/Adam
I Loading variable from checkpoint: layer_3/weights/Adam_1
I Loading variable from checkpoint: layer_5/bias
I Loading variable from checkpoint: layer_5/bias/Adam
I Loading variable from checkpoint: layer_5/bias/Adam_1
I Loading variable from checkpoint: layer_5/weights
I Loading variable from checkpoint: layer_5/weights/Adam
I Loading variable from checkpoint: layer_5/weights/Adam_1
I Loading variable from checkpoint: layer_6/bias
I Loading variable from checkpoint: layer_6/bias/Adam
I Loading variable from checkpoint: layer_6/bias/Adam_1
I Loading variable from checkpoint: layer_6/weights
I Loading variable from checkpoint: layer_6/weights/Adam
I Loading variable from checkpoint: layer_6/weights/Adam_1
I Loading variable from checkpoint: learning_rate
I STARTING Optimization
Epoch 0 |   Training | Elapsed Time: 0:00:00 | Steps: 0 | Loss: 0.000000
Epoch 0 |   Training | Elapsed Time: 0:00:03 | Steps: 1 | Loss: 40.868565
Epoch 0 |   Training | Elapsed Time: 0:00:03 | Steps: 2 | Loss: 38.503277
Epoch 0 |   Training | Elapsed Time: 0:00:03 | Steps: 3 | Loss: 38.891850
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 4 | Loss: 46.489270
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 5 | Loss: 47.883717
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 6 | Loss: 46.759464
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 7 | Loss: 45.937536
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 8 | Loss: 45.446314
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 9 | Loss: 44.475011
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 10 | Loss: 43.667667
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 11 | Loss: 43.505165
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 12 | Loss: 44.068289
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 13 | Loss: 43.597800
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 14 | Loss: 43.107768
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 15 | Loss: 42.444925
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 16 | Loss: 42.663258
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 17 | Loss: 42.666461
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 18 | Loss: 42.557821
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 19 | Loss: 43.261766
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 20 | Loss: 44.216932
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 21 | Loss: 43.907289
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 22 | Loss: 44.044862
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 23 | Loss: 44.546308
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 24 | Loss: 45.616059
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 25 | Loss: 45.549600
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 26 | Loss: 45.435724
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 27 | Loss: 45.201969
Epoch 0 |   Training | Elapsed Time: 0:00:07 | Steps: 28 | Loss: 44.649881
